email;nombre;estado;ultimopago;fecha;ciclo
Angeles.Monzon@bbdduc.utopia;SlowDelivery;Vigente;10320;25-03-24;mensual
Florencia.Torres@bbdduc.utopia;ComidaAhora;Vigente;12830;22-03-23;anual
Nicolas.Zambrano@bbdduc.utopia;DCCRappi;cancelada;133920;01-01-23;anual
Alonso.Zanni@bbdduc.utopia;Balloon;cancelada;17280;27-01-24;mensual
Ignacia.Rolando@bbdduc.utopia;DCComida;Vigente;174389;07-03-23;anual
Jesus.Bahamonde@bbdduc.utopia;FastDelivery;Vigente;188179;07-01-24;anual
Andres.Ramirez@bbdduc.utopia;NotRappido;Vigente;16704;10-01-23;mensual
Antonio.Rivera@bbdduc.utopia;DidiEats;Vigente;17280;11-04-24;mensual
Ignacia.Rio@bbdduc.utopia;NotRappido;cancelada;4576;28-03-24;mensual
Rovira.Gonzalez@bbdduc.utopia;Speed;Vigente;24805;31-01-24;anual
Elias.Santibanez@bbdduc.utopia;Speed;cancelada;7812;18-01-24;mensual
Antonio.Larrain@bbdduc.utopia;ComidaAhora;cancelada;9720;12-01-23;mensual
Agustin.Reyes@bbdduc.utopia;PedidosNow;Vigente;9720;27-03-23;mensual
Andres.Cortes@bbdduc.utopia;FoodBasics;cancelada;214967;23-04-24;anual
Humberto.Hormann@bbdduc.utopia;UbreFoods;Vigente;188179;09-01-23;anual
Jesus.Bahamonde@bbdduc.utopia;PedidosNow;cancelada;114307;13-01-24;anual
Nicolas.Munoz@bbdduc.utopia;DCComida;Vigente;214967;21-02-23;anual
Angeles.Castro@bbdduc.utopia;DCCRappi;Vigente;100310;26-01-23;anual
Javier.Madrid@bbdduc.utopia;PedidosNow;Vigente;5400;06-03-24;mensual
Ignacia.Oyarzun@bbdduc.utopia;SlowDelivery;Vigente;133920;16-01-24;anual
Elena.Alarcon@bbdduc.utopia;Balloon;Vigente;51617;26-01-23;anual
Sofia.Tapia@bbdduc.utopia;FastDelivery;Vigente;193536;26-02-23;anual
Alejandro.Benitez@bbdduc.utopia;SlowDelivery;cancelada;16704;15-01-23;mensual
Paz.Egnem@bbdduc.utopia;EsquinaShop;Vigente;17820;09-02-23;mensual
Andres.Montt@bbdduc.utopia;UbreFoods;cancelada;193536;07-04-24;anual
Andrea.Guevara@bbdduc.utopia;NotRappido;cancelada;2088;03-01-23;mensual
Andres.Gallardo@bbdduc.utopia;FoodNow;Vigente;193536;02-03-23;anual
Alejandro.Vicencio@bbdduc.utopia;EsquinaShop;cancelada;5400;01-03-23;mensual
Agustin.Reyes@bbdduc.utopia;DidiEats;Vigente;214967;14-03-23;anual
Jose.Castelblanco@bbdduc.utopia;Speed;Vigente;193536;02-03-24;anual
Andres.Reinhardt@bbdduc.utopia;FoodNow;cancelada;51617;12-04-24;anual
Jesus.Ramirez@bbdduc.utopia;DCCRappi;Vigente;24805;08-01-23;anual
Ignacia.Rio@bbdduc.utopia;FoodNow;cancelada;7812;03-03-24;mensual
Antonella.Roncagliolo@bbdduc.utopia;PedidosNow;Vigente;1080;09-02-23;mensual
Yerhov.Silberberg@bbdduc.utopia;PedidosNow;Vigente;174389;25-02-24;anual
Nicolas.Ayala@bbdduc.utopia;PedidosNow;cancelada;153216;27-03-23;anual
Ignacio.Mellado@bbdduc.utopia;PedidosNow;Vigente;19200;16-04-23;mensual
Enrique.Reyes@bbdduc.utopia;DidiEats;cancelada;1080;17-03-23;mensual
Macarena.Lungenstrass@bbdduc.utopia;ATuCasa;Vigente;22116;02-01-23;mensual
Andres.Saavedra@bbdduc.utopia;EsquinaShop;cancelada;7812;06-02-23;mensual
Ignacia.Ruiz@bbdduc.utopia;ComidaAhora;Vigente;188179;14-04-24;anual
Antonio.Rivera@bbdduc.utopia;Speed;Vigente;9720;26-03-23;mensual
Jesus.Bahamonde@bbdduc.utopia;SlowDelivery;Vigente;1080;15-04-24;mensual
Elena.Morales@bbdduc.utopia;DidiEats;Vigente;51617;01-03-23;anual
Pablo.ORyan@bbdduc.utopia;EsquinaShop;Vigente;100310;21-01-23;anual
Ignacia.Greene@bbdduc.utopia;PedidosNow;cancelada;214967;04-02-24;anual
Pablo.Montes@bbdduc.utopia;ATuCasa;Vigente;22116;12-04-24;mensual
Andrea.Guevara@bbdduc.utopia;DCComida;Vigente;15960;11-03-24;mensual
Segundo.Collinao@bbdduc.utopia;FastDelivery;Vigente;193536;26-03-24;anual
Domingo.Carvajal@bbdduc.utopia;NotRappido;cancelada;19200;23-02-23;mensual
Humberto.Gomez@bbdduc.utopia;FastDelivery;cancelada;4576;06-01-24;mensual
Andrea.Guevara@bbdduc.utopia;Speed;cancelada;19200;18-02-23;mensual
Angeles.Monzon@bbdduc.utopia;ComidaAhora;Vigente;22116;25-02-23;mensual
Andres.Saavedra@bbdduc.utopia;FastDelivery;Vigente;193536;04-02-23;anual
Ernst.Bustos@bbdduc.utopia;ATuCasa;cancelada;193536;31-01-23;anual
Macarena.Galleguillos@bbdduc.utopia;EsquinaShop;cancelada;5400;31-03-23;mensual
Alfredo.Catalan@bbdduc.utopia;DCCRappi;Vigente;16704;25-04-23;mensual
Ernst.Bustos@bbdduc.utopia;DCCRappi;Vigente;24805;21-02-23;anual
Andres.Reinhardt@bbdduc.utopia;DCComida;cancelada;4576;20-03-23;mensual
Eduardo.Gonzalez@bbdduc.utopia;DCComida;cancelada;153216;29-02-24;anual
Sofia.Tapia@bbdduc.utopia;Balloon;cancelada;9720;28-03-23;mensual
Rovira.Gonzalez@bbdduc.utopia;SlowDelivery;Vigente;193536;31-01-23;anual
Santiago.Garcia@bbdduc.utopia;DidiEats;cancelada;16200;20-03-24;mensual
Javier.Madrid@bbdduc.utopia;Speed;Vigente;15960;23-03-24;mensual
Andres.Cortes@bbdduc.utopia;Speed;cancelada;155520;18-04-24;anual
Angeles.Monzon@bbdduc.utopia;FoodBasics;Vigente;4576;05-01-23;mensual
Pablo.Montes@bbdduc.utopia;PedidosNow;Vigente;2088;28-03-23;mensual
Pablo.Gonzalez@bbdduc.utopia;FoodBasics;Vigente;5400;01-05-24;mensual
Eduardo.Osorio@bbdduc.utopia;FoodNow;cancelada;10320;02-03-23;mensual
Ignacia.Oyarzun@bbdduc.utopia;DidiEats;cancelada;24805;30-01-24;anual
Elena.Morales@bbdduc.utopia;DCComida;cancelada;17820;27-03-24;mensual
Javier.Arias@bbdduc.utopia;UbreFoods;cancelada;9720;30-04-24;mensual
Alejandro.Diaz@bbdduc.utopia;FoodBasics;Vigente;2088;26-03-23;mensual
Enrique.Costa@bbdduc.utopia;FoodBasics;cancelada;10320;16-04-23;mensual
Andres.Ruiz@bbdduc.utopia;EsquinaShop;Vigente;17820;10-02-24;mensual
Ignacia.Ruiz@bbdduc.utopia;UbreFoods;cancelada;22116;23-04-24;mensual
Eduardo.Palacios@bbdduc.utopia;NotRappido;cancelada;19200;26-03-23;mensual
Alejandro.Daroca@bbdduc.utopia;NotRappido;Vigente;55728;13-01-24;anual
Pablo.ORyan@bbdduc.utopia;DCCRappi;Vigente;193536;29-01-23;anual
Eduardo.Palacios@bbdduc.utopia;DCComida;Vigente;167961;24-02-24;anual
Renasco.Quezada@bbdduc.utopia;PedidosNow;cancelada;10320;30-01-24;mensual
Andres.Benavides@bbdduc.utopia;UbreFoods;cancelada;9720;28-02-23;mensual
Javier.Madrid@bbdduc.utopia;EsquinaShop;cancelada;17280;07-03-24;mensual
Antonio.Rivera@bbdduc.utopia;Speed;cancelada;214967;20-04-23;anual
Domingo.Carvajal@bbdduc.utopia;Balloon;Vigente;1080;18-02-23;mensual
Santiago.Garcia@bbdduc.utopia;FastDelivery;Vigente;17820;20-04-24;mensual
Nicolas.Plaza@bbdduc.utopia;ComidaAhora;cancelada;153216;25-04-23;anual
Alejandro.Sierra@bbdduc.utopia;NotRappido;Vigente;10320;28-04-24;mensual
Paz.Pena@bbdduc.utopia;Speed;cancelada;15960;22-02-24;mensual
Elias.Santibanez@bbdduc.utopia;SlowDelivery;Vigente;5400;21-04-24;mensual
Pablo.Gonzalez@bbdduc.utopia;ATuCasa;Vigente;9720;03-01-24;mensual
Ignacia.Greene@bbdduc.utopia;DidiEats;Vigente;15960;20-03-23;mensual
Eduardo.Behrens@bbdduc.utopia;Balloon;cancelada;174389;09-03-24;anual
Alfredo.Catalan@bbdduc.utopia;Balloon;cancelada;12830;13-01-23;anual
